Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s),Postal,Latitude,Longitude
NS10,Operating,Admiralty MRT Station,10-Feb-96,Woodlands,,738344,1.44058852,103.8009905
EW9,Operating,Aljunied MRT Station,4-Nov-89,Geylang,,388310,1.316432612,103.882906
CR11,Future,Ang Mo Kio MRT Station,7-Nov-87,Ang Mo Kio,Ang Mo Kio Bus Interchange,,1.370017,103.84945
NS16,Operating,Ang Mo Kio MRT Station,7-Nov-87,Ang Mo Kio,Ang Mo Kio Bus Interchange,569811,1.36993285,103.8495581
CR2,Future,Aviation Park MRT Station,2029,Changi,,,1.36989,104.00314
JS7,Future,Bahar Junction MRT Station,2026,Jurong West,,,1.345422,103.702542
CC12,Operating,Bartley MRT Station,28-May-09,"Serangoon, Toa Payoh",,539788,1.342501178,103.8801779
CC34,Future,Bayfront MRT Station,14-Jan-12,Downtown Core,,,1.282347,103.859317
CE1,Operating,Bayfront MRT Station,14-Jan-12,Downtown Core,,18957,1.281873789,103.8590798
DT16,Operating,Bayfront MRT Station,14-Jan-12,Downtown Core,,18957,1.281873789,103.8590798
TE29,Future,Bayshore MRT Station,2023,Bedok,,NIL,1.313122483,103.942308
DT5,Operating,Beauty World MRT Station,27-Dec-15,Bukit Timah,Beauty World Bus Interchange,588216,1.341223176,103.7757943
EW5,Operating,Bedok MRT Station,4-Nov-89,Bedok,Bedok Bus Interchange,467347,1.323979969,103.9299845
DT29,Operating,Bedok North MRT Station,21-Oct-17,Bedok,,479481,1.334742117,103.9179783
DT30,Operating,Bedok Reservoir MRT Station,21-Oct-17,Bedok,,469724,1.33660783,103.9322346
TE30,Future,Bedok South MRT Station,2024,Bedok,Bedok South Bus Interchange,NIL,1.316888941,103.9490653
DT21,Operating,Bencoolen MRT Station,21-Oct-17,"Museum Planning Area, Rochor",,189658,1.298918434,103.8503538
DT23,Operating,Bendemeer MRT Station,21-Oct-17,Kallang,,339356,1.313672528,103.8629776
NS17,Operating,Bishan MRT Station,7-Nov-87,Bishan,Bishan Bus Interchange,579827,1.350838988,103.848144
CC15,Operating,Bishan MRT Station,7-Nov-87,Bishan,Bishan Bus Interchange,579842,1.351315801,103.8491403
NE9,Operating,Boon Keng MRT Station,20-Jun-03,Kallang,,328260,1.319335709,103.8615695
JS8,Future,Boon Lay MRT Station,6-Jul-90,Jurong West,Boon Lay Bus Interchange,,1.338883,103.706208
EW27,Operating,Boon Lay MRT Station,6-Jul-90,Jurong West,Boon Lay Bus Interchange,649846,1.338604055,103.7060646
CC19,Operating,Botanic Gardens MRT Station,8-Oct-11,Tanglin,,257494,1.322113736,103.8149845
DT9,Operating,Botanic Gardens MRT Station,8-Oct-11,Tanglin,,259777,1.322488071,103.816014
NS18,Operating,Braddell MRT Station,7-Nov-87,Toa Payoh,,319756,1.340469001,103.8467991
CC2,Operating,Bras Basah MRT Station,17-Apr-10,Museum Planning Area,,189561,1.296861686,103.8506674
NS3A,Future,Brickland MRT Station,Mid-2030s,Exact location not yet known,,,,
TE7,Future,Bright Hill MRT Station,2021,Bishan,,575737,1.363283185,103.8328936
CR13,Future,Bright Hill MRT Station,2021,Bishan,,,1.361778,103.832093
NE15,Operating,Buangkok MRT Station,15-Jan-06,Sengkang,Buangkok Bus Interchange,545061,1.38287002,103.8931226
EW12,Operating,Bugis MRT Station,4-Nov-89,"Downtown Core, Rochor",,188022,1.300464463,103.8557061
DT14,Operating,Bugis MRT Station,4-Nov-89,"Downtown Core, Rochor",,188476,1.299313504,103.857126
NS2,Operating,Bukit Batok MRT Station,10-Mar-90,Bukit Batok,Bukit Batok Bus Interchange,659958,1.349033312,103.7495665
JE3,Future,Bukit Batok West MRT Station,2027,"Bukit Batok, Jurong East",,,1.34557,103.739592
CC18,Future,Bukit Brown MRT Station,TBA,Novena,,299176,1.333728883,103.8306895
NS3,Operating,Bukit Gombak MRT Station,10-Mar-90,Bukit Batok,,659083,1.358611591,103.7517909
DT1,Operating,Bukit Panjang MRT Station,27-Dec-15,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang Bus Interchange,678213,1.379002116,103.7615351
BP6,Operating,Bukit Panjang MRT Station,27-Dec-15,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang Bus Interchange,678268,1.377926946,103.7631029
EW21,Operating,Buona Vista MRT Station,12-Mar-88,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal,139345,1.307223708,103.7902535
CC22,Operating,Buona Vista MRT Station,12-Mar-88,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal,139350,1.306634504,103.7907094
TE9,Future,Caldecott MRT Station,8-Oct-11,Toa Payoh,,297608,1.337245613,103.8401618
CC17,Operating,Caldecott MRT Station,8-Oct-11,Toa Payoh,,298113,1.337674508,103.8395298
NS12,Operating,Canberra MRT Station,2-Nov-19,Sembawang,,756972,1.443076641,103.8297026
CC31,Future,Cantonment MRT Station,2025,Bukit Merah,,89395,1.272872146,103.8370623
DT2,Operating,Cashew MRT Station,27-Dec-15,"Bukit Batok, Bukit Panjang",,679696,1.369815449,103.7644392
CG2,Operating,Changi Airport MRT Station,8-Feb-02,Changi,"Singapore Changi Airport,  Changi Airport PTB2 Bus Terminal",819661,1.357478974,103.9878836
CR1,Future,Changi Airport Terminal 5 MRT Station,TBA,Changi,,,,
NE4,Operating,Chinatown MRT Station,20-Jun-03,Outram,,59443,1.284359593,103.8434267
