Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
100 AM,,100 TRAS STREET 100 AM SINGAPORE 079027,1.2745882179999999,103.84347070000001,,,,,,,,,,,100 AM,079027
313@Somerset,,313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895,1.301385102,103.8376844,,,,,,,,,,,UOB 313@SOMERSET,238895
Aperia,,12 KALLANG AVENUE APERIA SINGAPORE 339511,1.30974242,103.8641016,,,,,,,,,,,APERIA,339511
Balestier Hill Shopping Centre,,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,1.326124169,103.8437095,,,,,,,,,,,BALESTIER HILL SHOPPING CENTRE,321002
Bugis Cube,,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,1.298195005,103.85565550000001,,,,,,,,,,,BUGIS CUBE,188735
Bugis Junction,"Bugis, Singapore",230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,1.300117893,103.8561916,Jul-95,,CapitaMalls Asia,CapitaMall Trust,200,3,, EW12  DT14  Bugis,,www.capitaland.com/sg/malls/bugisjunction/en.html,BUGIS JUNCTION,188024
Bugis+,"Bugis, Singapore",BUGIS MRT STATION EXIT C,1.300007152,103.8556805,1 June 2009 (as Iluma),,CapitaMalls Asia,CapitaMall Trust,More than 150,10,, EW12  DT14  Bugis,,www.bugis-plus.com.sg/malls/website/index.aspx,BUGIS MRT STATION EXIT C,NIL
Capitol Piazza,"Downtown Core, Singapore",13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,1.293063359,103.85129350000001,Mar-15,Capitol Investment Holdings,Capitol Singapore,Capitol Singapore,,"2, 4 basements",, NS25  EW13  City Hall,,www.capitolpiazza.com,CAPITOL PIAZZA,178905
Cathay Cineleisure Orchard,Singapore,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1.301497434,103.8364448,1997,Cathay Organisation,Cathay Organisation,Cathay Organisation,54,14,,,,cineleisure.com.sg,CATHAY CINELEISURE ORCHARD,239695
Clarke Quay Central,,,,,,,,,,,,,,,-1,
The Centrepoint,Singapore,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,1.301978369,103.839759,May-83,Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint,180,8,,Somerset,,The Centrepoint,THE CENTREPOINT,238844
City Square Mall,"Kallang, Singapore",180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,1.31147745,103.8567808,19 September 2009; 11 years ago[1],City Developments Limited,City Developments Limited,City Developments Limited,over 200,"11 (9 levels, 2 basements)",, NE8  Farrer Park,,citysquaremall.com.sg,CITY SQUARE MALL,208539
City Gate Mall,,,,,,,,,,,,,,,-1,
