Station Code,Station Status,Station Address,Opening Date,Planning Area,Connection(s)
NS10,Operating,Admiralty MRT Station,10-Feb-96,Woodlands,
EW9,Operating,Aljunied MRT Station,4-Nov-89,Geylang,
CR11,Future,Ang Mo Kio MRT Station,7-Nov-87,Ang Mo Kio,Ang Mo Kio Bus Interchange
NS16,Operating,Ang Mo Kio MRT Station,7-Nov-87,Ang Mo Kio,Ang Mo Kio Bus Interchange
CR2,Future,Aviation Park MRT Station,2029,Changi,
JS7,Future,Bahar Junction MRT Station,2026,Jurong West,
CC12,Operating,Bartley MRT Station,28-May-09,"Serangoon, Toa Payoh",
CC34,Future,Bayfront MRT Station,14-Jan-12,Downtown Core,
CE1,Operating,Bayfront MRT Station,14-Jan-12,Downtown Core,
DT16,Operating,Bayfront MRT Station,14-Jan-12,Downtown Core,
TE29,Future,Bayshore MRT Station,2023,Bedok,
DT5,Operating,Beauty World MRT Station,27-Dec-15,Bukit Timah,Beauty World Bus Interchange
EW5,Operating,Bedok MRT Station,4-Nov-89,Bedok,Bedok Bus Interchange
DT29,Operating,Bedok North MRT Station,21-Oct-17,Bedok,
DT30,Operating,Bedok Reservoir MRT Station,21-Oct-17,Bedok,
TE30,Future,Bedok South MRT Station,2024,Bedok,Bedok South Bus Interchange
DT21,Operating,Bencoolen MRT Station,21-Oct-17,"Museum Planning Area, Rochor",
DT23,Operating,Bendemeer MRT Station,21-Oct-17,Kallang,
NS17,Operating,Bishan MRT Station,7-Nov-87,Bishan,Bishan Bus Interchange
CC15,Operating,Bishan MRT Station,7-Nov-87,Bishan,Bishan Bus Interchange
NE9,Operating,Boon Keng MRT Station,20-Jun-03,Kallang,
JS8,Future,Boon Lay MRT Station,6-Jul-90,Jurong West,Boon Lay Bus Interchange
EW27,Operating,Boon Lay MRT Station,6-Jul-90,Jurong West,Boon Lay Bus Interchange
CC19,Operating,Botanic Gardens MRT Station,8-Oct-11,Tanglin,
DT9,Operating,Botanic Gardens MRT Station,8-Oct-11,Tanglin,
NS18,Operating,Braddell MRT Station,7-Nov-87,Toa Payoh,
CC2,Operating,Bras Basah MRT Station,17-Apr-10,Museum Planning Area,
NS3A,Future,Brickland MRT Station,Mid-2030s,Exact location not yet known,
TE7,Future,Bright Hill MRT Station,2021,Bishan,
CR13,Future,Bright Hill MRT Station,2021,Bishan,
NE15,Operating,Buangkok MRT Station,15-Jan-06,Sengkang,Buangkok Bus Interchange
EW12,Operating,Bugis MRT Station,4-Nov-89,"Downtown Core, Rochor",
DT14,Operating,Bugis MRT Station,4-Nov-89,"Downtown Core, Rochor",
NS2,Operating,Bukit Batok MRT Station,10-Mar-90,Bukit Batok,Bukit Batok Bus Interchange
JE3,Future,Bukit Batok West MRT Station,2027,"Bukit Batok, Jurong East",
CC18,Future,Bukit Brown MRT Station,TBA,Novena,
NS3,Operating,Bukit Gombak MRT Station,10-Mar-90,Bukit Batok,
DT1,Operating,Bukit Panjang MRT Station,27-Dec-15,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang Bus Interchange
BP6,Operating,Bukit Panjang MRT Station,27-Dec-15,"Bukit Batok, Bukit Panjang, Choa Chu Kang",Bukit Panjang Bus Interchange
EW21,Operating,Buona Vista MRT Station,12-Mar-88,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal
CC22,Operating,Buona Vista MRT Station,12-Mar-88,Queenstown,Buona Vista Bus Terminal  Ghim Moh Bus Terminal
TE9,Future,Caldecott MRT Station,8-Oct-11,Toa Payoh,
CC17,Operating,Caldecott MRT Station,8-Oct-11,Toa Payoh,
NS12,Operating,Canberra MRT Station,2-Nov-19,Sembawang,
