Shopping Mall Name,Location,Address,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite
100 AM,,100 TRAS STREET 100 AM SINGAPORE 079027,,,,,,,,,,
313@Somerset,,313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895,,,,,,,,,,
Aperia,,12 KALLANG AVENUE APERIA SINGAPORE 339511,,,,,,,,,,
Balestier Hill Shopping Centre,,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,,,,,,,,,,
Bugis Cube,,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,,,,,,,,,,
Bugis Junction,"Bugis, Singapore",230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,Jul-95,,CapitaMalls Asia,CapitaMall Trust,200,3,, EW12  DT14  Bugis,,www.capitaland.com/sg/malls/bugisjunction/en.html
Bugis+,"Bugis, Singapore",BUGIS MRT STATION EXIT C,1 June 2009 (as Iluma),,CapitaMalls Asia,CapitaMall Trust,More than 150,10,, EW12  DT14  Bugis,,www.bugis-plus.com.sg/malls/website/index.aspx
Capitol Piazza,"Downtown Core, Singapore",13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,Mar-15,Capitol Investment Holdings,Capitol Singapore,Capitol Singapore,,"2, 4 basements",, NS25  EW13  City Hall,,www.capitolpiazza.com
Cathay Cineleisure Orchard,Singapore,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1997,Cathay Organisation,Cathay Organisation,Cathay Organisation,54,14,,,,cineleisure.com.sg
Clarke Quay Central,,,,,,,,,,,,
The Centrepoint,Singapore,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,May-83,Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint,180,8,,Somerset,,The Centrepoint
City Square Mall,"Kallang, Singapore",180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,19 September 2009; 11 years ago[1],City Developments Limited,City Developments Limited,City Developments Limited,over 200,"11 (9 levels, 2 basements)",, NE8  Farrer Park,,citysquaremall.com.sg
City Gate Mall,,,,,,,,,,,,
