Shopping Mall Name,Location,Address,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,Postal,Latitude,Longitude
100 AM,,100 TRAS STREET 100 AM SINGAPORE 079027,,,,,,,,,,,79027,1.274588218,103.8434707
313@Somerset,,313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895,,,,,,,,,,,238895,1.301385102,103.8376844
Aperia,,12 KALLANG AVENUE APERIA SINGAPORE 339511,,,,,,,,,,,339511,1.30974242,103.8641017
Balestier Hill Shopping Centre,,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,,,,,,,,,,,301001,1.325761279,103.8430541
Bugis Cube,,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,,,,,,,,,,,188735,1.298195005,103.8556555
Bugis Junction,"Bugis, Singapore",230 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188024,Jul-95,,CapitaMalls Asia,CapitaMall Trust,200,3,, EW12  DT14  Bugis,,www.capitaland.com/sg/malls/bugisjunction/en.html,188067,1.299355372,103.8549847
Bugis+,"Bugis, Singapore",BUGIS MRT STATION EXIT C,1 June 2009 (as Iluma),,CapitaMalls Asia,CapitaMall Trust,More than 150,10,, EW12  DT14  Bugis,,www.bugis-plus.com.sg/malls/website/index.aspx,188867,1.300566095,103.8549352
Capitol Piazza,"Downtown Core, Singapore",13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,Mar-15,Capitol Investment Holdings,Capitol Singapore,Capitol Singapore,,"2, 4 basements",, NS25  EW13  City Hall,,www.capitolpiazza.com,178905,1.293063359,103.8512935
Cathay Cineleisure Orchard,Singapore,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,1997,Cathay Organisation,Cathay Organisation,Cathay Organisation,54,14,,,,cineleisure.com.sg,239695,1.301497434,103.8364448
Clarke Quay Central,,,,,,,,,,,,,,,
The Centrepoint,Singapore,176A ORCHARD ROAD THE CENTREPOINT SINGAPORE 238844,May-83,Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint,180,8,,Somerset,,The Centrepoint,238844,1.301978369,103.839759
City Square Mall,"Kallang, Singapore",180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,19 September 2009; 11 years ago[1],City Developments Limited,City Developments Limited,City Developments Limited,over 200,"11 (9 levels, 2 basements)",, NE8  Farrer Park,,citysquaremall.com.sg,208539,1.31138865,103.8566262
City Gate Mall,,,,,,,,,,,,,,,
CityLink Mall,"1 Raffles Link, Singapore 039393",1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,1 July 2000; 20 years ago,Hongkong Land,Hongkong Land,Hongkong Land,,7,," EW13  NS25  City Hall
 CC3  Esplanade",,www.citylink.com.sg,39393,1.292603494,103.8543161
Duo,"Bugis, Singapore",DUO RESIDENCES,,"M+S
UEM Sunrise Berhad (Project Manager)
CapitaLand Limited (Project Manager)",,,,,,,,,NIL,1.299216621,103.8579968
Far East Plaza,"14 Scotts Road, Singapore 228213",14D SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228217,1982; 38 years ago,,,,,,,,,www.fareastplaza.com.sg,228213,1.307266064,103.8337353
Funan,,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,,,,,,,,,,,179105,1.291244006,103.8499848
Great World City,Singapore,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,Oct-97,,Allgreen Properties Ltd,GWC Commercial Pte. Ltd. (A wholly owned subsidiary of Allgreen Properties Ltd),146,6,, TE15  Great World (from 2021),,greatworldcity.com.sg,237994,1.293475962,103.8319759
HDB Hub,,530 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310530,,,,,,,,,,www.hdb.gov.sg,310530,1.33218812,103.8470778
Holland Village Shopping Mall,,,,,,,,,,,,,,,
ION Orchard,Singapore,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,"21 July 2009; 11 years ago (operational)
23 October 2009; 11 years ago (official)",Orchard Turn Developments Pte Ltd (A joint venture company between CapitaLand and Sun Hung Kai Properties),Orchard Turn Developments Pte Ltd,Orchard Turn Developments Pte Ltd,400,12 (8 retail and 4 car park),, NS22  TE14  Orchard,,ionorchard.com,238801,1.304730948,103.8314655
Junction 8,"9 Bishan Place, Singapore 579837",9 BISHAN PLACE JUNCTION 8 SHOPPING CENTRE SINGAPORE 579837,27 November 1993; 26 years ago,,CapitaLand,CapitaMall Trust,174,"12 (6 retail floors inclusive of 2 basements (B2 to L4), 2 parking floors (B1 and B2), 7 office floors (L5 to L11))",, NS17  CC15  Bishan,,Junction 8,579837,1.350172433,103.8484301
Liang Court,"River Valley, Singapore",LIANG COURT JETTY,20 January 1984; 36 years ago[1],Wuthelam Group Ltd and Daimaru Inc,CapitaLand,CapitaLand and City Developments Limited,53,7,,,,,NIL,1.290658604,103.8445472
Liat Towers,Singapore,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,,,,Bonvests Holdings Limited[2],,21,,,,www.liattowers.com,238881,1.30510759,103.8307279
Lucky Plaza,"Orchard, Singapore",304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,"1979 (Podium), 1981 (Apartment)","Far East Organization, Ng Teng Fong",,,,,,,,luckyplaza.com.sg,238863,1.30446379,103.8340052
Marina Bay Sands,,MARINA BAY SANDS,"27 April 2010; 10 years ago (soft opening)
23 June 2010; 10 years ago (official opening)
17 February 2011; 9 years ago (grand opening)",,,Las Vegas Sands,,,,,,Marina Bay Sands,NIL,1.283994101,103.8594506
The Shoppes at Marina Bay Sands,,2A BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018958,,,,,,,,,,,18972,1.283672147,103.8588119
Marina Bay Financial Centre Tower 3,,12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,,,,,,,,,,,18982,1.279124938,103.8544576
Marina Bay Link Mall,"Marina Boulevard, Downtown Core, Singapore",8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,,"HKL
Cheung Kong Limited/Hutchison Whampoa
Keppel Land",Raffles Quay Asset Management,,,,,,,,18984,1.279724915,103.8545488
Marina One,,MARINA ONE RESIDENCES,,"M+S
UEM Sunrise (Project manager)
Mapletree Investments (Project manager)",,,,,,,,,NIL,1.27704169,103.8534019
Marina Square,"Marina Centre, Singapore",7 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039595,1985,Singapore Land,Singapore Land,Singapore Land,,5,,,,www.marinasquare.com.sg,39594,1.290971999,103.8575754
Millenia Walk,,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,,,,,,,,,,,39596,1.292046053,103.8599002
Mustafa Shopping Centre,"Syed Alwi Road, Little India, Singapore","145 Syed Alwi Road, Singapore 207704",April 1995; 25 years ago,,,Mr. Mustaq Ahmad,1 main store and 3 wings,8,, NE8  Farrer Park,,www.mustafa.com.sg,,,
Ngee Ann City,Singapore,391B ORCHARD ROAD NGEE ANN CITY SINGAPORE 238874,21 September 1993; 27 years ago,"Ngee Ann Development
Orchard Square Development",Ngee Ann Property Management,Tower B - YTL Starhill Global Property Management,130,"29 (7 retail floors (B2 to L5), 3 parking floors (B3, L6 and L7), 19 office floors (L8 to L26))",," NS23  Somerset
 NS22  TE14  Orchard",,ngeeanncity.com.sg,238872,1.302424172,103.8346761
Orchard Central,Singapore,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,2 July 2009; 11 years ago,"Far East Organization
OCBC Bank",Orchard Central Private Limited,Far East Organization,~400,14,," NS23  Somerset
 NS24  NE6  CC1  Dhoby Ghaut",,orchardcentral.com.sg,238896,1.300723504,103.8396924
Orchard Gateway,"Orchard, Singapore",277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,26 April 2014; 6 years ago,"Oversea-Chinese Banking Corporation
United Engineers Limited",,,,6 (including 2 basement levels),, NS23  Somerset,,www.orchardgateway.sg,238851,1.301563086,103.838915
Orchard Plaza,,150 ORCHARD ROAD ORCHARD PLAZA SINGAPORE 238841,,,,,,,,,,,238841,1.301265331,103.8411518
Midpoint Orchard,,220 ORCHARD ROAD MIDPOINT ORCHARD SINGAPORE 238852,,,,,,,,,,,238852,1.301783782,103.8386606
Orchard Shopping Centre,,321 ORCHARD ROAD ORCHARD SHOPPING CENTRE SINGAPORE 238866,,,,,,,,,,,238866,1.301484998,103.8378883
Palais Renaissance,,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,,,,,,,,,,,238871,1.306654845,103.829588
People's Park Centre,"Outram, Singapore",101B UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058359,1973; 47 years ago,,HBA Group Property Consultants Pte Ltd,Management Corporation Strata Title 0393,,,, NE4  DT19  Chinatown,,,58359,1.285757742,103.8439298
People's Park Complex,"1 Park Road, Singapore 059108 ( NE4  DT19  Chinatown)",1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,,,,People's Park Development,,,,,,,50032,1.284858608,103.8425788
Plaza Singapura,Singapore,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,14 September 1974; 46 years ago,DBS Land,CapitaMalls Asia,CapitaMall Trust,320,9,, NS24  NE6  CC1  Dhoby Ghaut,,www.plazasingapura.com.sg,238839,1.300820718,103.8450673
PoMo,,,,,,,,,,,,,,,
Raffles City,"City Hall, Downtown Core, Singapore",250 NORTH BRIDGE ROAD DBS RAFFLES CITY BRANCH SINGAPORE 179101,,Tincel Properties,CapitaLand,"CapitaCommercial Trust
CapitaMall Trust",,,,,,,179101,1.294083047,103.8533395
Scotts Square,,SCOTTS SQUARE,,,,,,,,,,,NIL,1.305762924,103.8330834
Serangoon Plaza,,320 SERANGOON ROAD SERANGOON PLAZA SINGAPORE 218108,,,,,,,,,,,218108,1.310780752,103.8551468
Shaw House and Centre,Singapore,350 Orchard Road,1993,Shaw Organisation,Shaw Organisation,Shaw Organisation,12,22,," TE13  Orchard Boulevard
 NS22  TE14  Orchard",,shaw.com.sg,,,
Sim Lim Square,Singapore,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,January 1987; 33 years ago,,,,151,"6 above-ground
2 basement floors",, DT13  Rochor,,www.simlimsquare.com.sg,188504,1.303022984,103.8530387
Singapore Shopping Centre,,190 CLEMENCEAU AVENUE SINGAPORE SHOPPING CENTRE SINGAPORE 239924,,,,,,,,,,,59804,1.286497018,103.8446287
The South Beach,,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767,,South Beach Consortium Pte Ltd (City Developments Limited and IOI Group),,,,,,,,,189767,1.294988044,103.8562762
Square 2,,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,,,,,,,,,,,18961,1.278307296,103.8507952
Suntec City,,SUNTEC CITY,,,,,,,,,,,NIL,1.295466756,103.858585
Tanglin Mall,,163 TANGLIN ROAD TANGLIN MALL SINGAPORE 247933,,,,,,,,,,,247933,1.304853421,103.8238835
Tangs,,320 ORCHARD ROAD DBS TANGS ORCHARD SINGAPORE 238865,,,,,,,,,,http://www.tangs.com/,238865,1.304950056,103.8329711
Tanjong Pagar Centre,"Tanjong Pagar, Central Business District, Singapore",5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,,GuocoLand Limited,,,,,,,,,78883,1.276609528,103.8461808
Tekka Centre,"Little India, Singapore  NE7  DT12  Little India",665 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210665,,,,,,,,,,,210665,1.30617773,103.85061
The Paragon,Singapore,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859,1998,,SPH Retail Property Management Services,Orchard 290 Ltd,196,"6 (retail)
14 (medical)",," NS23  Somserset
 NS22  TE14  Orchard",,paragon.com.sg,238859,1.30375856,103.8352403
Tiong Bahru Plaza,"Tiong Bahru Road, Singapore",302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,Nov-94,UOL Limited,AsiaMalls Management,ARMF (TBP) Private Limited,167 (6 levels inclusive of 1 basement level),"9 (6 shopping floors, 3 carpark floors)",, EW17  Tiong Bahru,,Tiong Bahru Plaza,168732,1.2864712,103.8271583
Thomson Plaza,"Upper Thomson Road, Singapore",4D MARIGOLD DRIVE THOMSON PLAZA SINGAPORE 576389,1979,DBS Land,Knight Frank Asset Management Pte Ltd,Mercatus Co-operative Limited,154,4,,,,Official website,574408,1.354650193,103.830945
Velocity,,238B THOMSON ROAD VELOCITY @ NOVENA SQUARE SINGAPORE 307685,,,,,,,,,,,307685,1.319295425,103.8441914
Wheelock Place,"Orchard, Singapore",501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,1993,Wharf Estates Singapore,Wharf Estates Singapore,Wharf Estates Singapore,26,23,,,,wheelockplace.com,238880,1.30453636,103.8307142
Wisma Atria,,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,13 November 1986; 33 years ago,,YTL Starhill Global Property Management,YTL Starhill Global Property Management,100,"B, L1-L4 (Retail)
             L5-L7(Parking)
L10-L22 (Office)",, NS22  TE14  Orchard,,Wisma Atria,238877,1.303698907,103.8331896
Zhongshan Mall,,20 AH HOOD ROAD ZHONGSHAN MALL SINGAPORE 329984,,,,,,,,,,,329984,1.326945045,103.8465544
White Sands,"Pasir Ris, Singapore",1 PASIR RIS CENTRAL STREET 3 WHITE SANDS SINGAPORE 518457,January 1997; 23 years ago,,AsiaMalls Management Pte Ltd,ARMF (WhiteSands) Pte. Ltd.,125,8,, EW1  CR5   CP1  Pasir Ris,,www.whitesands.com.sg,519075,1.365517813,103.9609482
Downtown East,1 Pasir Ris Close Singapore 519599,DOWNTOWN EAST,,,NTUC Club,National Trades Union Congress (NTUC),,,,,,,NIL,1.377775842,103.9547736
Century Square,"Tampines, Singapore",2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,Jul-95,,Frasers Property,Century Square Holding Pte Ltd,218 (upon reopening),6 levels,, EW2  DT32  Tampines,,www.centurysquare.com.sg,529509,1.35227804,103.9437277
Tampines 1,"Tampines, Singapore",10 TAMPINES CENTRAL 1 OCBC TAMPINES 1 SINGAPORE 529536,1 April 2009; 11 years ago,ARMF II (Tampines) Pte Ltd,AsiaMalls Management Pte Ltd,,Approx. 176,7,, EW2  DT32  Tampines,,Tampines 1,529540,1.352643488,103.9428945
Tampines Mall,"Tampines, Singapore",4 TAMPINES CENTRAL 5 TAMPINES MALL SINGAPORE 529510,December 1995; 24 years ago,CapitaMall Trust,CapitaMalls Asia,CapitaMall Trust,160,6,, EW2  DT32  Tampines,,Tampines Mall,529510,1.352672322,103.944388
Our Tampines Hub,"1 Tampines Walk, Singapore 528523",1 TAMPINES WALK OUR TAMPINES HUB SINGAPORE 528523,,,,People’s Association,,,,,,,528523,1.353547405,103.9403811
Changi Airport,"Changi, East Region, Singapore",CHANGI AIRPORT MRT STATION EXIT B,,,,Government of Singapore[1],,,,,,changiairport.com,819666,1.360331745,103.9896703
Changi City Point,"Changi Business Park, Singapore",5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,6 November 2011; 9 years ago,"Ascendas Land
Frasers Property",Frasers Property,Frasers Property,140,4,," CG1  DT35  Expo
SBS Transit Service: 20, Go-Ahead Service: 118",,www.changicitypoint.com.sg,486038,1.334036379,103.9629176
Djitsun Mall Bedok,,445 BEDOK NORTH STREET 1 DJITSUN MALL BEDOK SINGAPORE 469661,,,,,,,,,,,469661,1.326053199,103.9296046
Eastpoint Mall,"3 Simei Street 6, Singapore 528833",3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,December 1996; 23 years ago,Far East Organisation,Frasers Property,NTUC Income Insurance Co-Operative Pte Ltd,180,8 (2 basements + 6 retail levels),, EW3  Simei,,www.eastpoint.sg,528833,1.342691998,103.9530508
Bedok Mall,"Bedok, Singapore",311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,3 December 2013; 6 years ago,,CapitaMalls Asia,CapitaMalls Asia,195,3,," EW5  Bedok
Bedok",,bedokmall.com.sg/en,467360,1.324772074,103.9292677
Bedok Point,"Bedok, Singapore",799 NEW UPPER CHANGI ROAD BEDOK POINT SINGAPORE 467351,"16 December 2010; 9 years ago (Soft)
26 April 2011; 9 years ago (Official)",Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,75,6 (including 2 basements),," EW5  Bedok
Bedok",,bedokpoint.fraserscentrepointmalls.com,467351,1.324801026,103.932384
112 Katong,"Joo Chiat, Singapore",112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,Nov-11,,Perennial (Singapore) Retail Management Pte. Ltd.,Alpha Investment Pte Ltd,160 tenants,7,,,,112katong.com.sg,428802,1.305158419,103.9050669
Parkway Parade,"Marine Parade, Singapore",80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,December 1983; 36 years ago,Parkway Holdings,Lendlease,"Mixed-use development with sub-divided strata ownership, owned by Parkway Parade Partnership Limited fund managed by Lend Lease",270,7,,,,www.parkwayparade.com.sg,449269,1.301128413,103.9052049
Kallang Wave Mall,"Kallang, Singapore",1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,27 June 2014; 6 years ago,,Singapore Sports Hub,,,,, CC6  Stadium,,www.sportshub.com.sg/directory,397628,1.303843272,103.8727507
Leisure Park Kallang,"Kallang, Singapore",5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,"1982; 38 years ago (original)
November 2007; 13 years ago (rebuilt)",,,Jack Investments,71,6,, CC6  Stadium,,www.leisurepark.com.sg,397693,1.301928838,103.8762082
Jewel Changi Airport,"Changi, Singapore",78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,,,,"Changi Airport Group
CapitaLand
Jewel Changi Airport Trustee Pte. Ltd.",,,,,,,819666,1.360331745,103.9896703
AMK Hub,"Ang Mo Kio, Singapore",57 ANG MO KIO AVENUE 3 AMK HUB SINGAPORE 567751,May 2007; 13 years ago,,Mercatus Ltd,Mercatus Ltd,201,7,," NS16  CR11  Ang Mo Kio
Ang Mo Kio",,AMK Hub,569933,1.369255114,103.8484641
Canberra Plaza,"Sembawang, Singapore",133 CANBERRA VIEW CANBERRA PLAZA SINGAPORE 750133,2020,Housing & Development Board,Knight Frank[1],Housing & Development Board,,3 with 1 level basement,," NS12  Canberra
117, 169/169A, 883/883M[2]",,Official Website,750133,1.443245232,103.8305235
Causeway Point,"Woodlands, Singapore",1 WOODLANDS SQUARE CAUSEWAY POINT SINGAPORE 738099,Nov-98,Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,250,9,," NS9  TE2  Woodlands
Woodlands Bus Interchange",,causewaypoint.com.sg,738099,1.435927026,103.7860475
Northpoint City,"Yishun, Singapore",NORTHPOINT CITY,"November 1992; 28 years ago (North Wing)
December 2017; 2 years ago (South Wing)",Frasers Centrepoint,Frasers Centrepoint,Frasers Centrepoint Trust,400,7,," NS13  Yishun
Yishun",,Northpoint City,NIL,1.428113577,103.8360631
Sembawang Shopping Centre,"Sembawang, Singapore",604 SEMBAWANG ROAD SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,1997,CapitaLand Mall Trust,Knight Frank,Lian Beng-Apricot Sembawang,,3 with 4 Basements (1 retail Basement),,"Service(s) 167/167e, 856, 858, 859, 980 (SMRT Buses)[1]",,www.sembawangsc.com.sg,758459,1.441767152,103.8244951
Sun Plaza,"Sembawang, Singapore",30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,May 2000; 20 years ago,Canberra Development Pte Ltd,Koh Brothers Group and Heeton Holdings,Koh Brothers Group and Heeton Holdings,91,14 [12 floors (6 retail + 7 residential) + 2 basements],, NS11  Sembawang,,Sun Plaza,NIL,1.359261942,103.9467443
Waterway Point,"Punggol, Singapore",83 PUNGGOL CENTRAL WATERWAY POINT SINGAPORE 828761,18 January 2016; 4 years ago,"Frasers Property
Far East Organization
Sekisui House",Frasers Centrepoint Malls,Frasers Centrepoint Malls,203,4[1],," NE17  PTC  CP4  Punggol
Punggol",,Waterway Point,828761,1.406382096,103.9022437
Compass One,"Compassvale, Sengkang, Singapore",1 SENGKANG SQUARE COMPASS ONE SINGAPORE 545078,"1 August 2002; 18 years ago (as Compass Point)
1 September 2016; 4 years ago (as Compass One)",Frasers Centrepoint,M&G Real Estate,M&G Real Estate,208,8 floors,," NE16  STC  Sengkang
Sengkang
Compassvale",,www.compassone.sg,545078,1.392054305,103.8950639
